word,count,desc_count,fn_count,tier,source,example1,example2,example3
vibrato,23,17,6,new,both,"Domestic, Farm, Swine, Mammal. Animated, high, tonal screaming and squealing with vibrato. Mono, Sanken Co100K high frequency response.","Domestic, Farm, Swine, Mammal. Animated, high, tonal screaming and squealing with vibrato.","Wild. Curious, high, tonal screaming with very fast vibrato and stable pitch. Mono, Sanken Co100K high frequency response."
artifacts,23,23,0,new,desc,Wobbling elements with random fast zaps and high pitched artifacts. Constant movement with much low end. Zapping and blasts.,Swells and waves of distorted organic material with artifacts.,Futuristic impact foley with digital artifacts and fierce low end.
cartridge,23,19,4,mid,both,Paintball gun triggered flicked and slightly pops as empty cartridge engages.,"Trigger of airsoft gun is pulled with ammo in the cartridge, held for a long time with many rounds dispersed producing sharp clicks.","Trigger of airsoft gun is pulled with ammo in the cartridge, held for a medium length of time with multiple rounds dispersed producing sharp clicks"
overtone,23,22,1,new,both,Slow evolving glass tone with smooth overtone bloom and rich resonance.,"Sustained, overtone-rich, noise with slow attack and modulating excitation.",Sustained texture of overtone rich noise with slow attack and release.
grunts,23,23,0,new,desc,"Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning.","Wild, Marine, Mammal. Short snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response."
slides,23,19,4,mid,both,Gun is cocked quickly. Click produced as mechanism slides.,Gun is cocked. Click produced as mechanism slides along with more bassy recoil.,Soft slides and hits.
jingle,23,16,7,new,both,"Forceful thump as a fabric bag makes contact with a surface, accompanied by the distinct sound of a resonating zipper jingle.","Forceful thump as a leather bag makes contact with a surface, accompanied by the distinct sound of a resonating zipper jingle.","Metallic slide, impact, and jingle as the washer interacts with the coin pile."
attacks,23,23,0,new,desc,Clack of metallic impact repeatedly in varying rhythms. Hard attacks and reverberant decay.,Crumbling and tearing low mid texture with high attacks and low frequency noise.,Waves of electronic swells with slow attacks and long release.
rod,23,1,22,new,both,Metallic rod swipe with ringing tone and tight edge.,,
center,23,21,2,new,both,"Ball of processed rumbles slowly expands outward while slightly rising in pitch, converging at center.","Scattered grains spread from center outwards. Piercing, short resonance.","Wide growl converges to center in glass like, high pitched buzz."
rushing,23,23,0,new,desc,Rushing energy waves with squishy elements.,Low register windy whooshes with additional rushing and swirling elements.,"Low register growling whooshes with additional rushing, swirling and warping elements."
rippling,23,22,1,new,both,Debris rippling from hand on stone slab.,"Distorted, fluttering and rippling noise texture.","Fluttering and rippling pass by whooshes, rapid."
howl,23,18,5,new,both,"SYNTHETIC FLY BY Fast burst of rumble, wind like howl, and fluttering.",Howl of underwater beast undergoing heavy modulations.,Howl of beast already drowning and is seriously struggling for air.
cover,23,7,16,new,both,"Firm pressing together of the book's pages and cover, resulting in a weighty thud.",Gentle rustling and thud as the pages and cover come together.,Quick and short snapping of a nylon material bed cover with a soft intensity.
arc,23,14,9,new,both,Slow rising gust with subtle tonal arc and extended evolution.,Energetic arc of magical force with crisp slash and tonal sweep.,Thick fabric toss with gritty texture and brief arc.
morphed,22,21,1,new,both,Morphed duck quacking as if slowed down.,Morphed duck quacking. Airy and underwater.,"Duck quack, processed like morphed motor in long sequence."
immediately,22,22,0,mid,desc,Saw is turned on and immediately turned off. Click followed by slowing motor coming to a halt.,"Short creak, immediately followed by a hard hit.","Soft shake, immediately followed by a hard hit."
fuzzy,22,21,1,new,both,Tonal sound with chirping and fuzzy freeze effect.,Bursting pass by whooshes of a jet plane. Fuzzy and rapid pass by whooshing elements,Rapid and fuzzy pass by whooshing elements of a jet plane.
chicken,22,11,11,mid,both,Chicken sauce leaked continuously out with breathing of animal.,Chicken splashing water and vocalizing. Slightly grainy.,Chicken dunks head in water and drinks small amount while water drips down on head. Morphed snarl.
branch,22,3,19,mid,both,Sawing a large branch with a fine saw blade of a hand saw. Fast sequence.,Sawing a large branch with a fine saw blade of a hand saw. Slow sequence.,Cutting a branch with pruning shears.
magazine,22,17,5,new,both,Smooth rustling and thud as a magazine is gently closed shut.,Captures the swift movement and rustling of paper as the magazine is waved quickly through the air.,Magazine loaded into gun. Soft click.
made,22,22,0,new,desc,Rattling made by quickly rolling gear against wood.,Rattling made by slowly rolling gear against wood.,Gurgling and bubbling noises made by liquid in the mouth.
slab,22,10,12,mid,both,Debris rippling from hand on stone slab.,Stomping into pile of rock debris on top of a stone slab.,"Steel ball of 14 kilograms being dropped on a stone slab. Heavy, metallic with concrete cracking elements."
packaging,22,6,16,new,both,Heavy plastic packaging with rich crinkle and weighty texture.,Extended magical packaging motion with a plastic like friction and tonal rise.,Crushed packaging sound with brittle crunch and fine plastic rasp.
dynamics,22,22,0,new,desc,Alternate take with tighter flame dynamics and higher pressure burst.,"Long, controlled exhale with smooth dynamics and light texture.","Layered, swirling, sustained wind with shockwave like dynamics."
electrified,22,19,3,new,both,"Noisy, electrified surge with a Doppler effect.",High-pitched electrified surge resembling energy sparks fizzling out.,Sharp and electrified ringing with long whoosh.
longer,22,22,0,mid,desc,Longer sequence of metallic chain being dropped.,Dropping small amount of stones. Slow with longer tail.,"Processed bubbles, gradually longer in length with slight rise in pitch as bubble disintegrates."
recoil,22,22,0,new,desc,Gun is cocked. Click produced as mechanism slides along with more bassy recoil.,Safety of gun flicked. Short click with recoil.,"Stock of gun struck lightly, producing distinct click. Sometimes with recoil."
agitation,22,22,0,new,desc,"Electrons disturbance, atom agitation.",Constant foil agitation with shimmering texture and tight metallic chatter.,"SWING MEDIUM FLUTTERY Sustained crunchy rustling, agitation."
bomb,22,8,14,new,both,Brief explosion noise resembling a smoke bomb detonation.,"The burning sound of a cannon or bomb before it explodes, large.","The burning sound of a cannon or bomb before it explodes, medium."
beginning,22,22,0,new,desc,"Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response.","Wild, Marine, Mammal. Short, hard snorting grunts with subtle groaning at the beginning.","Wild, Marine, Mammal. Short snorting grunts with subtle groaning at the beginning. Mono, Sanken Co100K high frequency response."
minimal,22,22,0,new,desc,"Soft, delicate punch noise with minimal impact.","Short, sharp laser fire with minimal decay and short laser fire with long resonant decay.",Quick nylon whoosh with clean directional movement and minimal tail.
step,22,8,14,new,both,Step ladder is folded and unfolded. Click followed by thud.,Handle on small step ladder cranked.,Small step ladder opened and closed producing clank.
violent,22,21,1,new,both,Violent ignition sweep with fiery whip and metallic air burst.,Tearing rush of violent noise echoing like cursed skies splitting open.,Crackling ignition followed by a violent rush of searing flames.
flamethrower,22,2,20,mid,both,"Flamethrower with a long tail, energy mill propeller.","Deep impact with long, burning elements like shooting a flamethrower and slightly moving it.",
bongo,22,6,16,new,both,WOBBLE SPRING BONGO Hitting spring on bongo edge. Much low end.,WOBBLE SPRING BONGO Hitting spring on bongo edge. Low.,WOBBLE SPRING BONGO Hitting spring on bongo edge. Medium Low.
mush,22,1,21,new,both,"Gentle, sticky squelch with soft mush and moist texture.",,
pinecone,22,1,21,new,both,"Pinecone bowed by violin, producing creak.",,
erratic,22,22,0,new,desc,Glitchy energy surge characterized by its erratic distortion.,Zappy particle filter modulation characterized by its sharp and erratic nature.,Fast metallic flutter with erratic modulation and high overtones.
landing,22,21,1,new,both,"Action of dropping dice into a hand from a cup, capturing the distinct noise of the dice falling and landing in the palm.",Weighty thud of a sack of coins landing in the palm of a hand.,Heavy toss of glass fragments with aggressive landing and bright tails.
prolonged,22,22,0,new,desc,Frequency-warping tone with prolonged duration.,"Prolonged synthesized movement with an ascending pitch, featuring a metallic glimmer.","Prolonged synthesized movement with a descending pitch, characterized by a mouth-generated phaser effect."
socket,22,11,11,mid,both,Turning a medium sized socket wrench. Fast sequence.,Turning a medium sized socket wrench with a big socket applied. Fast single sound.,Turning a medium sized socket wrench. Fast single sound.
alveolar,22,22,0,mid,desc,"Zombie, Alien, Extraterrestrial, Mutate. Male voice, alveolar trill tongue flutter in carton tube. Mono, Sanken Co100K high frequency response.","Zombie, Alien, Extraterrestrial, Mutate. Male voice, alveolar trill tongue flutter in carton tube.","Zombie, Alien, Extraterrestrial, Mutate, Flutter, Stutter. Male voice, short and tonal alveolar trills. Mono, Sanken Co100K high frequency response."
kicking,22,21,1,mid,both,Kicking against pile. Low thud with some cracking.,Kicking a large and heavy object with a lot of friction.,HANDLING KICK TAIL Skater kicking up the tail of a skateboard.
tie,22,11,11,mid,both,"Tie fighter flies through space, producing intense ripples. Long duration.","Tie fighter flies through space, producing ripples. Short duration.",Closing a tie down strap. Fast single sound.
stroke,21,21,0,unknown,desc,"SWING MEDIUM FLABBY Short burst, swell of fluttering, rapid flapping. Low-mid resonance. Single motion or stroke.",STROKE PERCUSSION Light attack. Sustaining briefly. Shrill singing metallic resonance and overtones. Medium decay.,STROKE PERCUSSION Shrill metallic resonance. Sustaining briefly. Fast decay.
faint,21,21,0,new,desc,Wooden tick characterized by its gentle and faint rattling.,"Short low pitch synthetic sound, with fall in pitch during decay and sometimes faint meow of cat.","Tiny, faint ambient textures with soft, minimal background noise."
gurgle,21,16,5,new,both,Power up. Bubbles gurgle converging at high squeak.,Pieces of high tech machine are attached to each other in more complex ways. Gurgle and glassy clacks.,"Motor rotated, almost similar to gurgle."
micro,21,2,19,new,both,Layered nylon motion with twitchy details and micro movements.,Dry crackle with layered grit and saturated micro transients.,
